,Park Name,Category,Order,Family,Scientific Name,Common Names
0,Acadia National Park,Mammal,Artiodactyla,Cervidae,Alces alces,Moose
1,Acadia National Park,Mammal,Artiodactyla,Cervidae,Odocoileus virginianus,"Northern White-Tailed Deer, Virginia Deer, White-Tailed Deer"
2,Acadia National Park,Mammal,Carnivora,Canidae,Canis latrans,"Coyote, Eastern Coyote"
4,Acadia National Park,Mammal,Carnivora,Canidae,Vulpes vulpes,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox"
8,Acadia National Park,Mammal,Carnivora,Mustelidae,Lutra canadensis,"Otter, River Otter"
9,Acadia National Park,Mammal,Carnivora,Mustelidae,Martes pennanti,"Blackcat, Fisher, Pekan"
11,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela erminea,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-Tailed Weasel"
12,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela frenata,"Long-Tailed Weasel, New York Weasel, Northern Long-Tailed Weasel"
14,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela vison,"American Mink, Mink"
18,Acadia National Park,Mammal,Carnivora,Procyonidae,Procyon lotor,"Common Raccoon, Raccoon"
19,Acadia National Park,Mammal,Carnivora,Ursidae,Ursus americanus,Black Bear
20,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,"Big Brown Bat, Common Brown Bat"
21,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasionycteris noctivagans,Silver-Haired Bat
22,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus borealis,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat"
23,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus cinereus,Hoary Bat
24,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis keenii,"Keen's Myotis, Northern Long-Eared Bat, Northern Myotis, Say's Bat"
26,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis"
28,Acadia National Park,Mammal,Lagomorpha,Leporidae,Lepus americanus,"Snowshoe Hare, Varying Hare"
29,Acadia National Park,Mammal,Rodentia,Castoridae,Castor canadensis,"American Beaver, Beaver, Canadian Beaver"
